,experiment,attn,shot_meta,shot,eval_bs,video,miou,step,rel_diff
361,ts-meta2-shot4-n8,ts,2,4,8,bmx-trees,0.2784035205841064,800,-22.44820566973167
362,ts-meta2-shot4-n8,ts,2,4,8,breakdance,0.4586899876594543,1000,-16.46100729327182
363,ts-meta2-shot4-n8,ts,2,4,8,camel,0.5483973026275635,1000,-13.182082779628782
364,ts-meta2-shot4-n8,ts,2,4,8,car-roundabout,0.7593613266944885,600,-6.642778200434779
365,ts-meta2-shot4-n8,ts,2,4,8,car-shadow,0.6819772124290466,100,-15.202432265838716
366,ts-meta2-shot4-n8,ts,2,4,8,cows,0.6804835796356201,900,-6.261861857226407
367,ts-meta2-shot4-n8,ts,2,4,8,dance-twirl,0.4236368536949157,400,-12.539660468000918
368,ts-meta2-shot4-n8,ts,2,4,8,dog,0.5863798260688782,800,-16.86403718555561
369,ts-meta2-shot4-n8,ts,2,4,8,drift-chicane,0.5321552157402039,300,-20.665516647246427
370,ts-meta2-shot4-n8,ts,2,4,8,drift-straight,0.5347729921340942,900,-19.466059736027898
371,ts-meta2-shot4-n8,ts,2,4,8,goat,0.5157366394996643,200,-20.314862488601115
372,ts-meta2-shot4-n8,ts,2,4,8,horsejump-high,0.4686065912246704,800,-16.3777490902976
373,ts-meta2-shot4-n8,ts,2,4,8,kite-surf,0.1941172480583191,800,-54.33139445203231
374,ts-meta2-shot4-n8,ts,2,4,8,libby,0.4362478256225586,800,-6.445331798423137
375,ts-meta2-shot4-n8,ts,2,4,8,motocross-jump,0.5796839594841003,900,-9.93137621078401
376,ts-meta2-shot4-n8,ts,2,4,8,paragliding-launch,0.3980018496513366,700,-21.030810619542716
377,ts-meta2-shot4-n8,ts,2,4,8,parkour,0.42599618434906,500,-16.701854847385093
378,ts-meta2-shot4-n8,ts,2,4,8,scooter-black,0.5708020329475403,900,-15.02543167113968
379,ts-meta2-shot4-n8,ts,2,4,8,soapbox,0.5231091976165771,1000,-16.56429142998008
380,ts-meta8-shot1-n128,ts,8,1,128,blackswan,0.6704508066177368,300,-1.7475338393387632
381,ts-meta8-shot1-n128,ts,8,1,128,bmx-trees,0.2908943295478821,900,7.939283783795739
382,ts-meta8-shot1-n128,ts,8,1,128,breakdance,0.4515597820281982,200,16.46370100103627
383,ts-meta8-shot1-n128,ts,8,1,128,camel,0.5279659628868103,100,-3.950304160657551
384,ts-meta8-shot1-n128,ts,8,1,128,car-roundabout,0.6920804381370544,600,-3.007480861382909
385,ts-meta8-shot1-n128,ts,8,1,128,car-shadow,0.6580135226249695,700,1.0322191783429546
386,ts-meta8-shot1-n128,ts,8,1,128,cows,0.7104282379150391,200,1.020793284338126
387,ts-meta8-shot1-n128,ts,8,1,128,dance-twirl,0.4191304445266723,400,64.99327998618453
388,ts-meta8-shot1-n128,ts,8,1,128,dog,0.6062359809875488,300,-7.589423622766091
389,ts-meta8-shot1-n128,ts,8,1,128,drift-chicane,0.0186206102371215,0,-44.50152957353164
390,ts-meta8-shot1-n128,ts,8,1,128,drift-straight,0.0051023364067077,300,-97.56997847689549
391,ts-meta8-shot1-n128,ts,8,1,128,goat,0.5994006991386414,300,24.802720664623344
392,ts-meta8-shot1-n128,ts,8,1,128,horsejump-high,0.5193691253662109,100,-6.2531415469149145
393,ts-meta8-shot1-n128,ts,8,1,128,kite-surf,0.4144580960273742,200,-1.2742081083053598
394,ts-meta8-shot1-n128,ts,8,1,128,libby,0.3292919993400574,100,-12.516682406877807
395,ts-meta8-shot1-n128,ts,8,1,128,motocross-jump,0.5185262560844421,600,150.4494568343522
396,ts-meta8-shot1-n128,ts,8,1,128,paragliding-launch,0.4618844985961914,100,-4.16352638394021
397,ts-meta8-shot1-n128,ts,8,1,128,parkour,0.184623122215271,300,67.13937517435872
398,ts-meta8-shot1-n128,ts,8,1,128,scooter-black,0.0141381025314331,400,-70.72948609577166
399,ts-meta8-shot1-n128,ts,8,1,128,soapbox,0.4535151720046997,600,672.0859767259686
400,ts-meta8-shot2-n128,ts,8,2,128,blackswan,0.7095335125923157,600,-2.2490604895677695
401,ts-meta8-shot2-n128,ts,8,2,128,bmx-trees,0.3516701459884643,200,29.129281477752713
402,ts-meta8-shot2-n128,ts,8,2,128,breakdance,0.501537561416626,800,10.410759742815918
403,ts-meta8-shot2-n128,ts,8,2,128,camel,0.5867607593536377,100,-1.1332671557806466
404,ts-meta8-shot2-n128,ts,8,2,128,car-roundabout,0.7989294528961182,300,2.773615394789556
405,ts-meta8-shot2-n128,ts,8,2,128,car-shadow,0.7668589353561401,900,-2.8712774864129718
406,ts-meta8-shot2-n128,ts,8,2,128,cows,0.7039806842803955,200,-0.49437567631232815
407,ts-meta8-shot2-n128,ts,8,2,128,dance-twirl,0.5021872520446777,100,6.305847985977471
408,ts-meta8-shot2-n128,ts,8,2,128,dog,0.6649316549301147,800,-4.109642498889015
409,ts-meta8-shot2-n128,ts,8,2,128,drift-chicane,0.5627865195274353,800,22.937436737678446
410,ts-meta8-shot2-n128,ts,8,2,128,drift-straight,0.1219469308853149,500,-52.14516743215189
411,ts-meta8-shot2-n128,ts,8,2,128,goat,0.6364977359771729,200,-0.8808877805791825
412,ts-meta8-shot2-n128,ts,8,2,128,horsejump-high,0.5224938988685608,100,-1.8593008762697367
413,ts-meta8-shot2-n128,ts,8,2,128,kite-surf,0.3863443732261657,300,-8.01230820058985
414,ts-meta8-shot2-n128,ts,8,2,128,libby,0.4571444988250732,300,17.116235574657516
415,ts-meta8-shot2-n128,ts,8,2,128,motocross-jump,0.480694830417633,500,123.16684851773626
416,ts-meta8-shot2-n128,ts,8,2,128,paragliding-launch,0.48188316822052,1000,-2.8236074700976133
417,ts-meta8-shot2-n128,ts,8,2,128,parkour,0.4746456146240234,300,47.435669801859106
418,ts-meta8-shot2-n128,ts,8,2,128,scooter-black,0.4930334091186523,500,-7.285365905874301
419,ts-meta8-shot2-n128,ts,8,2,128,soapbox,0.5862284302711487,100,-0.522608031535708
420,ts-meta8-shot2-n16,ts,8,2,16,blackswan,0.7030627727508545,700,-3.1405207061817384
